Category,Chapter,Sentence No,Matched Pattern,Sentence,Score
Wealth Creation,0,130,keyword,business and financial plans so I could create jobs.,4
Money Concept,0,140,keyword,"My poor dad would say, Im not interested in money, or",2
Money Concept,0,141,keyword,"My rich dad always said, Money is power.",2
Financial Lesson Explanation,0,145,Cause–Effect Explanation,"between being poor poor dad was poor, not because of the",5
Money Concept,0,154,keyword,"money works, and to learn how to have it work for me.",2
Financial Lesson Explanation,0,163,Advice / Principle,I doubted if I should ever come back.,5
Money Concept,0,168,keyword,"about money was a painful decision, but it was a decision that shaped",2
Money Concept,0,173,keyword,"Money comes and goes, but if you have the education about",2
Money Concept,0,174,keyword,"how money works, you gain power over it and can begin building",2
Financial Lesson Explanation,0,175,Cause–Effect Explanation,The reason positive thinking alone does not work is because,5
Money Concept,0,176,keyword,"most people went to school and never learned how money works, so",2
Financial Lesson Explanation,0,177,Cause–Effect Explanation,"Because I was only nine years old when I started, the lessons my rich",5
Wealth Creation,0,182,keyword,but guideposts that will assist you and your children to grow wealthier,4
Money Concept,1,184,keyword,The poor and the middle class work for money.,2
Financial Lesson Explanation,1,184,Rich vs Poor Comparison,The poor and the middle class work for money.,5
Financial Lesson Explanation,1,186,Cause–Effect Explanation,"Because today Jimmys mom drove up in their new Cadillac, and",5
Financial Lesson Explanation,1,196,Cause–Effect Explanation,"Because my family lived on one side of the street, I went",5
Financial Lesson Explanation,1,208,Cause–Effect Explanation,"were because all the other boys had new baseball gloves, new bicycles,",5
Money Concept,1,212,keyword,So what do we do to make money?,2
Financial Lesson Explanation,1,216,Cause–Effect Explanation,"was good, because it inspired us to keep thinking of a way to make",5
Wealth Creation,1,227,keyword,"bottles, our little pile of used toothpaste tubes began to grow.",4
Money Concept,1,274,keyword,but I really dont know how to make money.,2
Money Concept,1,282,keyword,"you know how to make money, my dad replied.",2
Money Concept,1,313,keyword,"I asked my dad if he would teach us to make money, Mike said.",2
Money Concept,1,325,keyword,Mike says you want to learn to make money?,2
Financial Lesson Explanation,1,347,Cause–Effect Explanation,"widely used, and the stores could not close their doors because of the",5
Money Concept,1,355,keyword,"then, so I usually spent my money on comic books and went home.",2
Money Concept,1,357,keyword,agreed to work only because I wanted to learn to make money from,2
Financial Lesson Explanation,1,357,Cause–Effect Explanation,agreed to work only because I wanted to learn to make money from,5
Financial Lesson Explanation,1,363,Advice / Principle,was violating child labor laws and should be investigated.,5
Money Concept,1,389,keyword,You want all the money and dont take care of your,2
Wealth Creation,1,414,keyword,"If you learn this lesson, you will grow into a wise,",4
Financial Lesson Explanation,1,426,Cause–Effect Explanation,because you were such a nice hardworking guy.,5
Money Concept,1,434,keyword,one of them has asked me what I know about money.,2
Money Concept,1,435,keyword,"a job and a paycheck, but never to teach them about money.",2
Money Concept,1,436,keyword,"will spend the best years of their lives working for money, not really",2
Money Concept,1,438,keyword,"So when Mike told me you wanted to learn how to make money,",2
Financial Lesson Explanation,1,443,Advice / Principle,"If you think Im the problem, then you have to",5
Money Concept,1,455,keyword,"they do, waiting for a raise thinking that more money will solve their",2
Money Concept,1,467,keyword,lesson number one The poor and the middle class work for money.,2
Financial Lesson Explanation,1,467,Rich vs Poor Comparison,lesson number one The poor and the middle class work for money.,5
Money Concept,1,474,keyword,My rich dad wanted me to learn how money works so I,2
Financial Lesson Explanation,1,477,Advice / Principle,"simply accepted it, I would have to tell you that I could not teach you.",5
Money Concept,1,480,keyword,"When it comes to money, most people want to play it safe and feel",2
Financial Lesson Explanation,1,483,Advice / Principle,But dont you feel you should pay them more?,5
Money Concept,1,484,keyword,"And besides, more money will not solve their",2
Money Concept,1,485,keyword,"He makes a lot of money, and he",2
Money Concept,1,486,keyword,"Most people, given more money, only get into",2
Money Concept,1,489,keyword,he still has money problems because he never learned anything about,2
Financial Lesson Explanation,1,489,Cause–Effect Explanation,he still has money problems because he never learned anything about,5
Money Concept,1,490,keyword,"On top of that, he believes in working for money.",2
Money Concept,1,493,keyword,"But if you want to learn how to have money work for you, then I will",2
Financial Lesson Explanation,1,494,Rich vs Poor Comparison,"No, said rich dad, simply because its easier to learn to work for",5
Money Concept,1,495,keyword,"money, especially if fear is your primary emotion when the subject of",2
Money Concept,1,498,keyword,"of being fired, the fear of not having enough money, and the fear of",2
Money Concept,1,500,keyword,Learning to have money work for you is a completely different,2
Money Concept,1,510,keyword,"If you choose to work for money, that is what life will be like, said",2
Money Concept,1,522,keyword,I already know that my study of money will,2
Financial Lesson Explanation,1,523,Cause–Effect Explanation,"continue over my lifetime, simply because the more I find out, the",5
Financial Lesson Explanation,1,524,Advice / Principle,more I find out I need to know.,5
Money Concept,1,526,keyword,Then they wonder why they have money problems.,2
Money Concept,1,527,keyword,that more money will solve the problem and dont realize that its their,2
Financial Lesson Explanation,1,529,Cause–Effect Explanation,So my dad has tax problems because he doesnt understand,5
Money Concept,1,532,keyword,you still have the passion to learn about money.,2
Money Concept,1,534,keyword,One day they wake up with big money,2
Money Concept,1,535,keyword,knowing how to work for money instead of studying how to have,2
Money Concept,1,538,keyword,"You said you wanted to learn to not work for money, so Im not going",2
Wealth Creation,1,541,keyword,grow up to be like the two women and the older man sitting in my,4
Money Concept,1,542,keyword,"living room, working for money and hoping I dont fire them.",2
Money Concept,1,543,keyword,"your dad, earning lots of money only to be in debt up to his eyeballs,",2
Money Concept,1,551,keyword,Lesson 1 The Rich Dont Work for Money,2
Financial Lesson Explanation,1,551,Rich vs Poor Comparison,Lesson 1 The Rich Dont Work for Money,5
Money Concept,1,568,keyword,"money, clinging to the illusion of job security and looking forward to a",2
Financial Lesson Explanation,1,571,Cause–Effect Explanation,I may sound unkind because Im doing my best to point something out,5
Financial Lesson Explanation,1,573,Cause–Effect Explanation,something most people never have the benefit of seeing because their,5
Money Concept,1,583,keyword,I couldnt imagine earning that kind of money.,2
Money Concept,1,596,keyword,"without money motivates us to work hard, and then once we get that",2
Money Concept,1,600,keyword,Offer them more money and they continue the cycle by,2
Money Concept,1,610,keyword,"They feel the fear so they go to work, hoping that money will soothe",2
Investment Advice,1,611,keyword,It continues to haunt them and they return,3
Money Concept,1,612,keyword,"to work, hoping again that money will calm their fears, and again it",2
Money Concept,1,613,keyword,"Fear keeps them in this trap of working, earning money,",2
Money Concept,1,614,keyword,"working, earning money, hoping the fear will go away.",2
Money Concept,1,627,keyword,They desire money for the joy they think it can buy.,2
Money Concept,1,628,keyword,"But the joy that money brings is often shortlived, and they soon need",2
Money Concept,1,629,keyword,"more money for more joy, more pleasure, more comfort, and more",2
Money Concept,1,630,keyword,"So they keep working, thinking money will soothe their souls",2
Financial Lesson Explanation,1,631,Cause–Effect Explanation,"people are rich isnt because of desire, but because of fear.",5
Money Concept,1,632,keyword,"that money can eliminate the fear of being poor, so they amass tons of it,",2
Money Concept,1,639,keyword,although they look rich and have more money.,2
Money Concept,1,641,keyword,is just as psychotic as being attached to money.,2
Money Concept,1,646,keyword,"Seeing the money, the derelict came over immediately,",2
Money Concept,1,651,keyword,"If they werent interested in money, then why are they working?",2
Money Concept,1,654,keyword,"the countless times my own dad said, Im not interested in money.",2
Money Concept,1,656,keyword,work for money until all traces of fear,2
Financial Lesson Explanation,1,663,Advice / Principle,"When a person says, I need to find",5
Money Concept,1,665,keyword,"But people do need money if they have bills to pay, I said.",2
Money Concept,1,667,keyword,"money arises, instead of immediately running out to get a job, they",2
Financial Lesson Explanation,1,675,Cause–Effect Explanation,You mean my dad says that because hes afraid?,5
Money Concept,1,679,keyword,"I want to teach you to master the power of money, instead of",2
Money Concept,1,681,keyword,"learn it, you become a slave to money.",2
Money Concept,1,686,keyword,interested in just teaching you to make a pile of money.,2
Money Concept,1,694,keyword,how to handle money or his fear of it.,2
Money Concept,1,696,keyword,So youve been talking about the fear of not having money.,2
Money Concept,1,697,keyword,does the desire for money affect our thinking?,2
Financial Lesson Explanation,1,702,Cause–Effect Explanation,"live their lives chasing paychecks, pay raises and job security because",5
Money Concept,1,711,keyword,people with lots of money often have more fear the richer they get.,2
Money Concept,1,725,keyword,"money, thinking that it will buy you things that will make you happy",2
Financial Lesson Explanation,1,731,Advice / Principle,So what does ignorance have to do with greed and fear?,5
Money Concept,1,732,keyword,Because it is ignorance about money that causes so much greed,2
Financial Lesson Explanation,1,732,Cause–Effect Explanation,Because it is ignorance about money that causes so much greed,5
Money Concept,1,733,keyword,"wanting more money to better provide for his family, raises his fees.",2
Financial Lesson Explanation,1,736,Cause–Effect Explanation,"Because the doctors raise their fees, the attorneys",5
Financial Lesson Explanation,1,737,Cause–Effect Explanation,"Because the attorneys fees have gone up, schoolteachers",5
Financial Lesson Explanation,1,742,Advice / Principle,"In an educated society with a wellrun government, prices should",5
Financial Lesson Explanation,1,744,Cause–Effect Explanation,Prices go up because of greed and fear caused by ignorance.,5
Money Concept,1,745,keyword,"taught people about money, there would be more money and lower",2
Money Concept,1,746,keyword,"But schools focus only on teaching people to work for money,",2
Money Concept,1,754,keyword,"resisted your emotions when I tempted you with more money, you",2
Money Concept,1,758,keyword,"you go with me, youll let go of the idea of working for money and",2
Money Concept,1,759,keyword,instead learn to have money work for you.,2
Financial Lesson Explanation,1,765,Cause–Effect Explanation,Instead of just getting up and going to work because not having the,5
Money Concept,1,766,keyword,"money to pay your bills is scaring you, ask yourself, Is working harder",2
Money Concept,1,773,keyword,"Money controls their lives, or should I say the fear and",2
Financial Lesson Explanation,1,773,Advice / Principle,"Money controls their lives, or should I say the fear and",5
Money Concept,1,774,keyword,"They get up every day and go work for money, not taking the time to",2
Money Concept,1,779,keyword,"lead, thinking we were making money, we were very close to thinking",2
Money Concept,1,780,keyword,The problem was that creating money is legal,2
Money Concept,1,782,keyword,"legal ways to create money from nothing, he told us.",2
Wealth Creation,1,782,keyword,"legal ways to create money from nothing, he told us.",4
Money Concept,1,783,keyword,Rich dad went on to explain that the rich know that money is an,2
Money Concept,1,785,keyword,greed that the illusion of money is held together by billions of people,2
Financial Lesson Explanation,1,786,Cause–Effect Explanation,is only because of the illusion of confidence and the ignorance of the,5
Money Concept,1,793,keyword,because they will continue to believe that money is real and that the,2
Financial Lesson Explanation,1,793,Cause–Effect Explanation,because they will continue to believe that money is real and that the,5
Money Concept,1,801,keyword,making money far beyond what I could ever pay you.,2
Money Concept,1,802,keyword,"opportunities because theyre looking for money and security, so thats",2
Financial Lesson Explanation,1,802,Cause–Effect Explanation,"opportunities because theyre looking for money and security, so thats",5
Money Concept,1,814,keyword,was that I didnt have any money to buy comic books.,2
Money Concept,1,843,keyword,had learned our first lesson so well We learned to make money work,2
Money Concept,1,845,keyword,to use our imaginations to identify an opportunity to make money.,2
Money Concept,1,848,keyword,"part was that our business generated money for us, even when we",2
Money Concept,1,849,keyword,"Instead of paying us money, rich dad had given us so much more.",2
Financial Lesson Explanation,2,860,Advice / Principle,What should I do to prepare my children?,5
Money Concept,2,880,keyword,"are too focused on money and not on their greatest wealth, their",2
Wealth Creation,2,880,keyword,"are too focused on money and not on their greatest wealth, their",4
Wealth Creation,2,882,keyword,"and learn, they will grow richer and richer despite tough changes.",4
Money Concept,2,883,keyword,"If they think money will solve problems, they will have a rough ride.",2
Money Concept,2,884,keyword,"Most people fail to realize that in life, its not how much money",2
Money Concept,2,891,keyword,"accountant took his money, and he was forced to work at a car",2
Financial Lesson Explanation,2,892,Cause–Effect Explanation,He was fired from the car wash because,5
Money Concept,2,898,keyword,"them that in the long run, its not how much money you make.",2
Financial Lesson Explanation,2,903,Advice / Principle,"If you want to be rich, you need to be financially literate.",5
Financial Lesson Explanation,2,906,Advice / Principle,while my rich dad stressed the need to master financial literacy.,5
Wealth Creation,2,907,keyword,"If you are going to build the Empire State Building, the first thing",4
Financial Lesson Explanation,2,908,Advice / Principle,you need to do is dig a deep hole and pour a strong foundation.,5
Wealth Creation,2,909,keyword,"you are going to build a home in the suburbs, all you need to do is",4
Financial Lesson Explanation,2,909,Advice / Principle,"you are going to build a home in the suburbs, all you need to do is",5
Wealth Creation,2,910,keyword,"rich, are trying to build an Empire State Building on a sixinch slab.",4
Financial Lesson Explanation,2,917,Cause–Effect Explanation,possible because we were taught to pour a strong financial foundation,5
Money Concept,2,926,keyword,"understood the simple drawings, the jargon, the movement of money,",2
Wealth Creation,2,933,keyword,drawings helped guide two little boys in building great sums of wealth,4
Assets vs Liabilities,2,934,keyword,Rule 1 You must know the difference between an asset,3
Financial Lesson Explanation,2,934,Advice / Principle,Rule 1 You must know the difference between an asset,5
Financial Lesson Explanation,2,935,Advice / Principle,"If you want to be rich, this is all you need to know.",5
Assets vs Liabilities,2,937,keyword,financially because they do not know the difference between an asset,3
Financial Lesson Explanation,2,937,Cause–Effect Explanation,financially because they do not know the difference between an asset,5
Assets vs Liabilities,2,938,keyword,"liabilities that they think are assets, said rich dad.",3
Assets vs Liabilities,2,944,keyword,"You mean all we need to know is what an asset is, acquire them,",3
Financial Lesson Explanation,2,944,Advice / Principle,"You mean all we need to know is what an asset is, acquire them,",5
Assets vs Liabilities,2,948,keyword,It took rich dad only a few minutes to explain what assets and,3
Financial Lesson Explanation,2,950,Cause–Effect Explanation,simplicity of the idea escapes them because they have been educated,5
Assets vs Liabilities,2,957,keyword,Why would someone buy an asset that was really,3
Assets vs Liabilities,2,959,keyword,What defines something to be an asset or a liability are not words.,3
Assets vs Liabilities,2,960,keyword,"In fact, if you really want to be confused, look up the words asset",3
Money Concept,2,961,keyword,An asset puts money the definition may sound good to a,2
Assets vs Liabilities,2,961,keyword,An asset puts money the definition may sound good to a,3
Money Concept,2,962,keyword,"A liability takes money person, it makes no sense.",2
Assets vs Liabilities,2,962,keyword,"A liability takes money person, it makes no sense.",3
Assets vs Liabilities,2,964,keyword,"To us young boys, rich dad said, What defines an asset are not",3
Assets vs Liabilities,2,966,keyword,an asset from a hole in the ground.,3
Assets vs Liabilities,2,971,keyword,"And I also heard, The rich acquire assets, and the poor and",3
Assets vs Liabilities,2,972,keyword,Here is how to tell the difference between an asset and a liability.,3
Money Concept,2,975,keyword,This is the cashflow pattern of an asset,2
Assets vs Liabilities,2,975,keyword,This is the cashflow pattern of an asset,3
Money Concept,2,976,keyword,"The top part of the diagram is an Income Statement, often called",2
Assets vs Liabilities,2,978,keyword,Its called that because its supposed to balance assets against liabilities.,3
Financial Lesson Explanation,2,978,Cause–Effect Explanation,Its called that because its supposed to balance assets against liabilities.,5
Money Concept,2,980,keyword,"Income Statement and the Balance Sheet, and it is vital to understand",2
Money Concept,2,982,keyword,This is the cashflow pattern of a liability,2
Assets vs Liabilities,2,982,keyword,This is the cashflow pattern of a liability,3
Assets vs Liabilities,2,983,keyword,"Now that assets and liabilities have been defined through pictures,",3
Assets vs Liabilities,2,985,keyword,"If you want to be rich, simply spend your life buying assets.",3
Financial Lesson Explanation,2,985,Rich vs Poor Comparison,"If you want to be rich, simply spend your life buying assets.",5
Assets vs Liabilities,2,986,keyword,"you want to be poor or middle class, spend your life buying liabilities.",3
Financial Lesson Explanation,2,986,Rich vs Poor Comparison,"you want to be poor or middle class, spend your life buying liabilities.",5
Financial Lesson Explanation,2,990,Cause–Effect Explanation,The rich are rich because they are more literate in different areas,5
Wealth Creation,2,992,keyword,"maintain your wealth, its important to be financially literate, in words",4
Assets vs Liabilities,2,997,keyword,they spend their lives buying liabilities instead of assets.,3
Money Concept,2,998,keyword,This is the cashflow pattern of a poor person,2
Money Concept,2,999,keyword,This is the cashflow pattern of a person in the middle class,2
Money Concept,2,1000,keyword,This is the cashflow pattern of a rich person,2
Money Concept,2,1005,keyword,is to illustrate the flaw in believing that money will solve all problems.,2
Money Concept,2,1008,keyword,But more money will often not solve the problem.,2
Money Concept,2,1011,keyword,Money only accentuates the cashflow pattern running in your,2
Money Concept,2,1014,keyword,"saying, A fool and his money is one big party.",2
Financial Lesson Explanation,2,1018,Cause–Effect Explanation,bright student would go on to be a medical doctor because it was the,5
Money Concept,2,1024,keyword,"queens, or CEOs because that is where the fame, money, and prestige",2
Financial Lesson Explanation,2,1024,Cause–Effect Explanation,"queens, or CEOs because that is where the fame, money, and prestige",5
Financial Lesson Explanation,2,1027,Cause–Effect Explanation,"Because students leave school without financial skills, millions",5
Money Concept,2,1029,keyword,"What is missing from their education is not how to make money, but",2
Money Concept,2,1030,keyword,"the money once you make it, how to keep people from taking it from",2
Money Concept,2,1031,keyword,"you, how to keep it longer, and how to make that money work hard",2
Financial Lesson Explanation,2,1033,Cause–Effect Explanation,people often work harder than they need to because they learned how,5
Money Concept,2,1034,keyword,"to work hard, but not how to have their money work hard for them.",2
Money Concept,2,1038,keyword,are saving money because two can live as cheaply as one.,2
Financial Lesson Explanation,2,1038,Cause–Effect Explanation,are saving money because two can live as cheaply as one.,5
Money Concept,2,1039,keyword,money to buy their dream home so they can have kids.,2
Money Concept,2,1043,keyword,"think its income tax, but for most Americans, their highest tax is",2
Financial Lesson Explanation,2,1046,Advice / Principle,really 15 percent since the employer must match the Social Security,5
Money Concept,2,1047,keyword,"In essence, it is money the employer cant pay you.",2
Money Concept,2,1048,keyword,"of that, you still have to pay income tax on the amount deducted from",2
Financial Lesson Explanation,2,1048,Advice / Principle,"of that, you still have to pay income tax on the amount deducted from",5
Money Concept,2,1049,keyword,"your wages for Social Security tax, income you never received because",2
Financial Lesson Explanation,2,1049,Cause–Effect Explanation,"your wages for Social Security tax, income you never received because",5
Assets vs Liabilities,2,1055,keyword,"All of a sudden, they wake up and their liabilities column is",3
Assets vs Liabilities,2,1057,keyword,"calls and says their greatest asset, their home, has appreciated in",3
Financial Lesson Explanation,2,1058,Cause–Effect Explanation,"Because their credit is so good, the company offers a billconsolidation loan and tells them the intelligent thing to do is clear",5
Assets vs Liabilities,2,1068,keyword,and not understanding the difference between an asset and a liability.,3
Financial Lesson Explanation,2,1073,Cause–Effect Explanation,"trillions of dollars on weapons and, because of this, is a powerful",5
Money Concept,2,1079,keyword,"fully understanding money, the vast majority of people allow its",2
Financial Lesson Explanation,2,1082,Cause–Effect Explanation,They do things because everybody else does them.,5
Money Concept,2,1091,keyword,"for anything, be it sports, relationships, careers, or money.",2
Financial Lesson Explanation,2,1095,Advice / Principle,"Occasionally, we all need to look in the mirror and be true to",5
Financial Lesson Explanation,2,1104,Cause–Effect Explanation,to do it this way because thats the way everyone else does it.,5
Financial Lesson Explanation,2,1112,Cause–Effect Explanation,"But because of this, Mike and I couldnt go along with the",5
Money Concept,2,1120,keyword,"the real world, or why we never studied money and how it worked.",2
Money Concept,2,1121,keyword,"To the latter question, we often got the answer that money was not",2
Money Concept,2,1122,keyword,"important, that if we excelled in our education, the money would",2
Money Concept,2,1123,keyword,"The more we knew about the power of money, the more",2
Money Concept,2,1127,keyword,had a far better foundation with money than both my parents.,2
Investment Advice,2,1129,keyword,One day my dad told me that our home was his greatest investment.,3
Investment Advice,2,1131,keyword,thought a house was not a good investment.,3
Assets vs Liabilities,2,1134,keyword,"dad thought his house was an asset, and the other dad thought it was",3
Assets vs Liabilities,2,1143,keyword,It would be a liability since it would,3
Financial Lesson Explanation,2,1145,Cause–Effect Explanation,people to agree with it because your home is an emotional thing,5
Money Concept,2,1146,keyword,"and when it comes to money, high emotions tend to lower financial",2
Money Concept,2,1147,keyword,I know from personal experience that money has a way,2
Money Concept,2,1162,keyword,"If all your money is tied up in your house, you may be forced",2
Money Concept,2,1163,keyword,to work harder because your money continues blowing,2
Financial Lesson Explanation,2,1163,Cause–Effect Explanation,to work harder because your money continues blowing,5
Assets vs Liabilities,2,1164,keyword,"out of the expense column, instead of adding to the asset",3
Money Concept,2,1165,keyword,young couple would put more money into their asset column,2
Assets vs Liabilities,2,1165,keyword,young couple would put more money into their asset column,3
Investment Advice,2,1170,keyword,that is too expensive in lieu of starting an investment portfolio impacts,3
Assets vs Liabilities,2,1172,keyword,"Loss of time, during which other assets could have grown",3
Money Concept,2,1175,keyword,"Because they have no money to invest, they",2
Investment Advice,2,1175,keyword,"Because they have no money to invest, they",3
Financial Lesson Explanation,2,1175,Cause–Effect Explanation,"Because they have no money to invest, they",5
Investment Advice,2,1176,keyword,Most never become what the investment world calls a,3
Assets vs Liabilities,2,1180,keyword,should understand the difference between an asset and a liability.,3
Financial Lesson Explanation,2,1180,Advice / Principle,should understand the difference between an asset and a liability.,5
Assets vs Liabilities,2,1181,keyword,"When I want a bigger house, I first buy assets that will generate the",3
Money Concept,2,1184,keyword,"income, never allowing him enough left over to invest in assets.",2
Assets vs Liabilities,2,1184,keyword,"income, never allowing him enough left over to invest in assets.",3
Investment Advice,2,1184,keyword,"income, never allowing him enough left over to invest in assets.",3
Assets vs Liabilities,2,1185,keyword,"result, his liabilities are larger than his assets.",3
Money Concept,2,1186,keyword,The following diagram on the left shows my poor dads income,2
Assets vs Liabilities,2,1187,keyword,expenses are equal while his liabilities are larger than his assets.,3
Assets vs Liabilities,2,1189,keyword,results of a life dedicated to investing and minimizing liabilities.,3
Money Concept,2,1191,keyword,The asset column generates more than enough income to,2
Assets vs Liabilities,2,1191,keyword,The asset column generates more than enough income to,3
Assets vs Liabilities,2,1192,keyword,"cover expenses, with the balance reinvested into the asset column.",3
Money Concept,2,1193,keyword,"asset column continues to grow and, therefore, the income it produces",2
Assets vs Liabilities,2,1193,keyword,"asset column continues to grow and, therefore, the income it produces",3
Wealth Creation,2,1193,keyword,"asset column continues to grow and, therefore, the income it produces",4
Financial Lesson Explanation,2,1193,Cause–Effect Explanation,"asset column continues to grow and, therefore, the income it produces",5
Money Concept,2,1197,keyword,"salary increase hence, the phrase the Rat Race.",2
Assets vs Liabilities,2,1198,keyword,"as their primary asset, instead of investing in incomeproducing assets.",3
Investment Advice,2,1199,keyword,"This pattern of treating your home as an investment, and the",3
Financial Lesson Explanation,2,1206,Cause–Effect Explanation,"Today, mutual funds are popular because they supposedly",5
Money Concept,2,1212,keyword,their money is safer because it is diversified.,2
Financial Lesson Explanation,2,1212,Cause–Effect Explanation,their money is safer because it is diversified.,5
Financial Lesson Explanation,2,1216,Cause–Effect Explanation,to play it safe is because their financial positions are tenuous at best.,5
Money Concept,2,1217,keyword,and have no real assets that generate income.,2
Assets vs Liabilities,2,1217,keyword,and have no real assets that generate income.,3
Financial Lesson Explanation,2,1219,Cause–Effect Explanation,these people cant take advantage of them because they are working so,5
Assets vs Liabilities,2,1222,keyword,is to know the difference between an asset and a liability.,3
Assets vs Liabilities,2,1225,keyword,"Keep doing that, and your asset column will grow.",3
Wealth Creation,2,1225,keyword,"Keep doing that, and your asset column will grow.",4
Money Concept,2,1226,keyword,Keep liabilities and expenses down so more money is available to,2
Assets vs Liabilities,2,1226,keyword,Keep liabilities and expenses down so more money is available to,3
Assets vs Liabilities,2,1241,keyword,businessfocusing your efforts on acquiring assets instead of a bigger,3
Assets vs Liabilities,2,1242,keyword,job and rely on their wages to fund their acquisition of assets.,3
Assets vs Liabilities,2,1243,keyword,"As their assets grow, how do they measure the extent of their",3
Wealth Creation,2,1243,keyword,"As their assets grow, how do they measure the extent of their",4
Assets vs Liabilities,2,1245,keyword,"As well as having my own definitions for assets and liabilities,",3
Wealth Creation,2,1246,keyword,I also have my own definition for wealth.,4
Wealth Creation,2,1248,keyword,"the application, Fuller also said something about wealth.",4
Wealth Creation,2,1250,keyword,Wealth is a persons ability to survive so many number of days,4
Assets vs Liabilities,2,1252,keyword,"Unlike net worththe difference between your assets and liabilities,",3
Assets vs Liabilities,2,1257,keyword,"Although net worth often includes noncashproducing assets, like",3
Wealth Creation,2,1258,keyword,"stuff you bought that now sits in your garage, wealth measures how",4
Money Concept,2,1259,keyword,"much money your money is making and, therefore, your financial",2
Financial Lesson Explanation,2,1259,Cause–Effect Explanation,"much money your money is making and, therefore, your financial",5
Assets vs Liabilities,2,1260,keyword,Wealth is the measure of the cash flow from the asset column,3
Wealth Creation,2,1260,keyword,Wealth is the measure of the cash flow from the asset column,4
Assets vs Liabilities,2,1261,keyword,Lets say I have cash flow from my asset,3
Assets vs Liabilities,2,1264,keyword,"When I achieve 2,000 a month cash flow from my assets, then",3
Assets vs Liabilities,2,1266,keyword,generated from assets each month that fully cover my monthly,3
Financial Lesson Explanation,2,1267,Advice / Principle,"If I want to increase my expenses, I first must increase my",5
Wealth Creation,2,1268,keyword,cash flow to maintain this level of wealth.,4
Assets vs Liabilities,2,1270,keyword,"and been successful in, building an asset column that has made me",3
Assets vs Liabilities,2,1272,keyword,cover my monthly expenses with the cash flow from my assets.,3
Assets vs Liabilities,2,1274,keyword,"into my asset column, the more my asset column grows.",3
Assets vs Liabilities,2,1275,keyword,"my assets grow, the more my cash flow grows.",3
Wealth Creation,2,1275,keyword,"my assets grow, the more my cash flow grows.",4
Assets vs Liabilities,2,1276,keyword,"expenses less than the cash flow from these assets, I grow richer with",3
Wealth Creation,2,1276,keyword,"expenses less than the cash flow from these assets, I grow richer with",4
Money Concept,2,1277,keyword,more and more income from sources other than my physical labor.,2
Assets vs Liabilities,2,1279,keyword,The middle class buy liabilities they think are assets.,3
Assets vs Liabilities,3,1282,keyword,The rich focus on their asset columns while,3
Money Concept,3,1315,keyword,"will revolve around their wages or, as described earlier, their income",2
Money Concept,3,1318,keyword,skills allow them to enter the workforce and work for money.,2
Assets vs Liabilities,3,1330,keyword,"Your business revolves around your asset column, not your",3
Assets vs Liabilities,3,1332,keyword,"the difference between an asset and a liability, and to buy assets.",3
