Category,Chapter,Sentence No,Matched Keyword,Sentence,Score
Fear & Risk,10,1490,fear,"It is said that the fear of public A person can be highly speaking is a fear greater than educated, professionally death for most people.",2
Short Quote (10–25 words),10,1491,length_match,"According to psychiatrists, the fear of public successful, and speaking is caused by the fear of financially illiterate.",1
Fear & Risk,10,1491,fear,"According to psychiatrists, the fear of public successful, and speaking is caused by the fear of financially illiterate.",2
Short Quote (10–25 words),10,1492,length_match,"ostracism, the fear of standing out, the fear of criticism, the fear of ridicule, and the fear of being an outcast.",1
Fear & Risk,10,1492,fear,"ostracism, the fear of standing out, the fear of criticism, the fear of ridicule, and the fear of being an outcast.",2
Short Quote (10–25 words),10,1493,length_match,The fear of being different prevents most people from seeking new ways to solve their problems.,1
Fear & Risk,10,1493,fear,The fear of being different prevents most people from seeking new ways to solve their problems.,2
Short Quote (10–25 words),10,1495,length_match,"Fear is the main reason that people say, Play it safe.",1
Fear & Risk,10,1495,Fear,"Fear is the main reason that people say, Play it safe.",2
Short Quote (10–25 words),10,1496,length_match,"That goes for anything, be it sports, relationships, careers, or money.",1
Money Terms,10,1496,money,"That goes for anything, be it sports, relationships, careers, or money.",2
Assets vs Liabilities,10,1497,asset,"It is that same fear, the fear of ostracism, that causes people to conform to, and not question, commonly accepted opinions or popular trends Your home is an asset.",3
Fear & Risk,10,1497,fear,"It is that same fear, the fear of ostracism, that causes people to conform to, and not question, commonly accepted opinions or popular trends Your home is an asset.",2
Money Terms,10,1502,money,Save money.,2
Short Quote (10–25 words),10,1503,length_match,"When I get a raise, Ill buy us a bigger house.",1
Short Quote (10–25 words),10,1505,length_match,Many financial problems are caused by trying to keep up with the Joneses.,1
Short Quote (10–25 words),10,1506,length_match,"Occasionally, we all need to look in the mirror and be true to our inner wisdom rather than our fears.",1
Fear & Risk,10,1506,fear,"Occasionally, we all need to look in the mirror and be true to our inner wisdom rather than our fears.",2
Short Quote (10–25 words),10,1507,length_match,"57 Chapter Two Lesson 2 By the time Mike and I were 16 years old, we began to have problems in school.",1
Short Quote (10–25 words),10,1510,length_match,We worked for Mikes dad after school and on weekends.,1
Investment Advice,10,1511,invest,"Mike and I often spent hours after work just sitting at a table with his dad while he held meetings with his bankers, attorneys, accountants, brokers, investors, managers, and employees.",3
Short Quote (10–25 words),10,1512,length_match,"Here was a man who had left school at 13 who was now directing, instructing, ordering, and asking questions of educated people.",1
Short Quote (10–25 words),10,1513,length_match,"They came at his beck and call, and cringed when he didnt approve of them.",1
Short Quote (10–25 words),10,1514,length_match,Here was a man who had not gone along with the crowd.,1
Mindset & Thinking,10,1515,thinking,"He was a man who did his own thinking and detested the words, We have to do it this way because thats the way everyone else does it.",3
Short Quote (10–25 words),10,1517,length_match,"If you wanted him to do something, just say, I dont think you can do it.",1
Short Quote (10–25 words),10,1518,length_match,"Mike and I learned more sitting in on his meetings than we did in all our years of school, college included.",1
Short Quote (10–25 words),10,1519,length_match,"Mikes dad was not booksmart, but he was financially educated and successful as a result.",1
Short Quote (10–25 words),10,1520,length_match,"He told us over and over again, An intelligent person hires people who are more intelligent than he is.",1
Short Quote (10–25 words),10,1521,length_match,So Mike and I had the benefit of spending hours listening to and learning from intelligent people.,1
Business & Education,10,1521,learning,So Mike and I had the benefit of spending hours listening to and learning from intelligent people.,2
Short Quote (10–25 words),10,1522,length_match,"But because of this, Mike and I couldnt go along with the standard dogma our teachers preached, and that caused problems.",1
Business & Education,10,1522,teach,"But because of this, Mike and I couldnt go along with the standard dogma our teachers preached, and that caused problems.",2
Short Quote (10–25 words),10,1523,length_match,"Whenever the teacher said, If you dont get good grades, you wont do well in the real world, Mike and I just raised our eyebrows.",1
Business & Education,10,1523,teach,"Whenever the teacher said, If you dont get good grades, you wont do well in the real world, Mike and I just raised our eyebrows.",2
Short Quote (10–25 words),10,1524,length_match,"When we were told to follow set procedures and not deviate from the rules, we could see how school discouraged creativity.",1
Short Quote (10–25 words),10,1525,length_match,"We started to understand why our rich dad told us that schools were designed to produce good employees, instead of employers.",1
Money Terms,10,1526,money,"Occasionally, Mike or I would ask our teachers how what we studied was applicable in the real world, or why we never studied money and how it worked.",2
Business & Education,10,1526,teach,"Occasionally, Mike or I would ask our teachers how what we studied was applicable in the real world, or why we never studied money and how it worked.",2
Short Quote (10–25 words),10,1527,length_match,"To the latter question, we often got the answer that money was not important, that if we excelled in our education, the money would follow.",1
Money Terms,10,1527,money,"To the latter question, we often got the answer that money was not important, that if we excelled in our education, the money would follow.",2
Business & Education,10,1527,education,"To the latter question, we often got the answer that money was not important, that if we excelled in our education, the money would follow.",2
Short Quote (10–25 words),10,1528,length_match,"The more we knew about the power of money, the more distant we grew from the teachers and our classmates.",1
Money Terms,10,1528,money,"The more we knew about the power of money, the more distant we grew from the teachers and our classmates.",2
Business & Education,10,1528,teach,"The more we knew about the power of money, the more distant we grew from the teachers and our classmates.",2
Short Quote (10–25 words),10,1529,length_match,"58 Rich Dad Poor Dad My highly educated dad never pressured me about my grades, but we did begin to argue about money.",1
Money Terms,10,1529,money,"58 Rich Dad Poor Dad My highly educated dad never pressured me about my grades, but we did begin to argue about money.",2
Rich vs Poor Mindset,10,1529,Rich Dad Poor,"58 Rich Dad Poor Dad My highly educated dad never pressured me about my grades, but we did begin to argue about money.",4
Short Quote (10–25 words),10,1530,length_match,"By the time I was 16, I probably had a far better foundation with money than both my parents.",1
Money Terms,10,1530,money,"By the time I was 16, I probably had a far better foundation with money than both my parents.",2
Short Quote (10–25 words),10,1531,length_match,"I could keep books, I listened to tax accountants, corporate attorneys, bankers, real estate brokers, investors, and so forth.",1
Investment Advice,10,1531,invest,"I could keep books, I listened to tax accountants, corporate attorneys, bankers, real estate brokers, investors, and so forth.",3
Business & Education,10,1532,teach,"By contrast, my dad talked to other teachers.",2
Short Quote (10–25 words),10,1533,length_match,One day my dad told me that our home was his greatest investment.,1
Investment Advice,10,1533,invest,One day my dad told me that our home was his greatest investment.,3
Short Quote (10–25 words),10,1534,length_match,A nottoopleasant argument took place when I showed him why I thought a house was not a good investment.,1
Investment Advice,10,1534,invest,A nottoopleasant argument took place when I showed him why I thought a house was not a good investment.,3
Assets vs Liabilities,10,1535,Assets,BALANCE SHEET Assets Liabilities RICH DAD Home BALANCE SHEET Assets POOR DAD Liabilities Home The above diagram illustrates the difference in perception between my rich dad and my poor dad when it came to their homes.,3
Rich vs Poor Mindset,10,1535,RICH DAD Home BALANCE SHEET Assets POOR DAD Liabilities Home The above diagram illustrates the difference in perception between my rich dad and my poor,BALANCE SHEET Assets Liabilities RICH DAD Home BALANCE SHEET Assets POOR DAD Liabilities Home The above diagram illustrates the difference in perception between my rich dad and my poor dad when it came to their homes.,4
Short Quote (10–25 words),10,1536,length_match,"One dad thought his house was an asset, and the other dad thought it was a liability.",1
Assets vs Liabilities,10,1536,asset,"One dad thought his house was an asset, and the other dad thought it was a liability.",3
Short Quote (10–25 words),10,1537,length_match,59 Chapter Two Lesson 2 I remember when I drew the following diagram for my dad showing him the direction of cash flow.,1
Short Quote (10–25 words),10,1538,length_match,I also showed him the ancillary expenses that went along with owning the home.,1
Short Quote (10–25 words),10,1539,length_match,"A bigger home meant bigger expenses, and the cash flow kept going out through the expense column.",1
Money Terms,10,1540,INCOME,"INCOME STATEMENT Income Expenses Mortgage Payment Property Tax Insurance Maintenance Utilities BALANCE SHEET Assets Liabilities Mortgage Today, people still challenge me on the idea of a house not being an asset.",2
Assets vs Liabilities,10,1540,Assets,"INCOME STATEMENT Income Expenses Mortgage Payment Property Tax Insurance Maintenance Utilities BALANCE SHEET Assets Liabilities Mortgage Today, people still challenge me on the idea of a house not being an asset.",3
Short Quote (10–25 words),10,1541,length_match,"I know that for many people, it is their dream as well as their largest investment.",1
Investment Advice,10,1541,invest,"I know that for many people, it is their dream as well as their largest investment.",3
Short Quote (10–25 words),10,1543,length_match,I simply offer an alternate way of looking at this popular dogma.,1
Short Quote (10–25 words),10,1544,length_match,"If my wife and I were to buy a bigger, flashier house, we realize it wouldnt be an asset.",1
Assets vs Liabilities,10,1544,asset,"If my wife and I were to buy a bigger, flashier house, we realize it wouldnt be an asset.",3
Short Quote (10–25 words),10,1545,length_match,It would be a liability since it would take money out of our pocket.,1
Money Terms,10,1545,money,It would be a liability since it would take money out of our pocket.,2
Assets vs Liabilities,10,1545,liability,It would be a liability since it would take money out of our pocket.,3
Short Quote (10–25 words),10,1546,length_match,60 Rich Dad Poor Dad So here is the argument I put forth.,1
Rich vs Poor Mindset,10,1546,Rich Dad Poor,60 Rich Dad Poor Dad So here is the argument I put forth.,4
Money Terms,10,1547,money,"I really dont expect most people to agree with it because your home is an emotional thing and when it comes to money, high emotions tend to lower financial intelligence.",2
Short Quote (10–25 words),10,1548,length_match,I know from personal experience that money has a way of making every decision emotional.,1
Money Terms,10,1548,money,I know from personal experience that money has a way of making every decision emotional.,2
Short Quote (10–25 words),10,1549,length_match,"When it comes to houses, most people work all their lives paying for a home they never own.",1
Short Quote (10–25 words),10,1550,length_match,"In other words, most people buy a new house every few years, each time incurring a new 30year loan to pay off the previous one.",1
Short Quote (10–25 words),10,1552,length_match,"My wifes parents were shocked when the property taxes on their home increased to 1,000 a month.",1
Short Quote (10–25 words),10,1553,length_match,"This was after they had retired, so the increase put a strain on their retirement budget, and they felt forced to move.",1
Short Quote (10–25 words),10,1555,length_match,I have friends who owe a million dollars for a home that today would sell for far less.,1
Short Quote (10–25 words),10,1556,length_match,The greatest losses of all are those from missed opportunities.,1
Money Terms,10,1557,money,"If all your money is tied up in your house, you may be forced to work harder because your money continues blowing out of the expense column, instead of adding to the asset columnthe classic middleclass cashflow pattern.",2
Assets vs Liabilities,10,1557,asset,"If all your money is tied up in your house, you may be forced to work harder because your money continues blowing out of the expense column, instead of adding to the asset columnthe classic middleclass cashflow pattern.",3
Short Quote (10–25 words),10,1558,length_match,"If a young couple would put more money into their asset column early on, their later years would be easier.",1
Money Terms,10,1558,money,"If a young couple would put more money into their asset column early on, their later years would be easier.",2
Assets vs Liabilities,10,1558,asset,"If a young couple would put more money into their asset column early on, their later years would be easier.",3
Short Quote (10–25 words),10,1559,length_match,Their assets would have grown and would be available to help cover expenses.,1
Assets vs Liabilities,10,1559,assets,Their assets would have grown and would be available to help cover expenses.,3
Short Quote (10–25 words),10,1560,length_match,"All too often, a house only serves as a vehicle for incurring a homeequity loan to pay for mounting expenses.",1
Investment Advice,10,1561,invest,"61 Chapter Two Lesson 2 In summary, the end result in making a decision to own a house that is too expensive in lieu of starting an investment portfolio impacts an individual in at least the following three ways 1.",3
Short Quote (10–25 words),10,1562,length_match,"Loss of time, during which other assets could have grown in value.",1
Assets vs Liabilities,10,1562,assets,"Loss of time, during which other assets could have grown in value.",3
Short Quote (10–25 words),10,1564,length_match,"Loss of additional capital, which could have been invested instead of paying for highmaintenance expenses related directly to the home.",1
Investment Advice,10,1564,invest,"Loss of additional capital, which could have been invested instead of paying for highmaintenance expenses related directly to the home.",3
Business & Education,10,1566,education,Loss of education.,2
Short Quote (10–25 words),10,1567,length_match,"Too often, people count their house and savings and retirement plans as all they have in their asset column.",1
Assets vs Liabilities,10,1567,asset,"Too often, people count their house and savings and retirement plans as all they have in their asset column.",3
Short Quote (10–25 words),10,1568,length_match,"Because they have no money to invest, they simply dont invest.",1
Money Terms,10,1568,money,"Because they have no money to invest, they simply dont invest.",2
Investment Advice,10,1568,invest,"Because they have no money to invest, they simply dont invest.",3
Investment Advice,10,1569,invest,This costs them investment experience.,3
Short Quote (10–25 words),10,1570,length_match,Most never become what the investment world calls a sophisticated investor.,1
Investment Advice,10,1570,invest,Most never become what the investment world calls a sophisticated investor.,3
Short Quote (10–25 words),10,1571,length_match,"And the best investments are usually first sold to sophisticated investors, who then turn around and sell them to the people playing it safe.",1
Investment Advice,10,1571,invest,"And the best investments are usually first sold to sophisticated investors, who then turn around and sell them to the people playing it safe.",3
Short Quote (10–25 words),10,1573,length_match,What I am saying is that you should understand the difference between an asset and a liability.,1
Assets vs Liabilities,10,1573,asset,What I am saying is that you should understand the difference between an asset and a liability.,3
Short Quote (10–25 words),10,1574,length_match,"When I want a bigger house, I first buy assets that will generate the cash flow to pay for the house.",1
Assets vs Liabilities,10,1574,assets,"When I want a bigger house, I first buy assets that will generate the cash flow to pay for the house.",3
Short Quote (10–25 words),10,1575,length_match,My educated dads personal financial statement best demonstrates the life of someone caught in the Rat Race.,1
Short Quote (10–25 words),10,1576,length_match,"His expenses match his income, never allowing him enough left over to invest in assets.",1
Money Terms,10,1576,income,"His expenses match his income, never allowing him enough left over to invest in assets.",2
Assets vs Liabilities,10,1576,assets,"His expenses match his income, never allowing him enough left over to invest in assets.",3
Investment Advice,10,1576,invest,"His expenses match his income, never allowing him enough left over to invest in assets.",3
Short Quote (10–25 words),10,1577,length_match,"As a result, his liabilities are larger than his assets.",1
Assets vs Liabilities,10,1577,liabilities,"As a result, his liabilities are larger than his assets.",3
Short Quote (10–25 words),10,1578,length_match,62 Rich Dad Poor Dad The following diagram on the left shows my poor dads income statement.,1
Money Terms,10,1578,income,62 Rich Dad Poor Dad The following diagram on the left shows my poor dads income statement.,2
Rich vs Poor Mindset,10,1578,Rich Dad Poor Dad The following diagram on the left shows my poor,62 Rich Dad Poor Dad The following diagram on the left shows my poor dads income statement.,4
Short Quote (10–25 words),10,1580,length_match,It shows that his income and expenses are equal while his liabilities are larger than his assets.,1
Money Terms,10,1580,income,It shows that his income and expenses are equal while his liabilities are larger than his assets.,2
Assets vs Liabilities,10,1580,liabilities,It shows that his income and expenses are equal while his liabilities are larger than his assets.,3
Short Quote (10–25 words),10,1581,length_match,My rich dads personal financial statement on the right reflects the results of a life dedicated to investing and minimizing liabilities.,1
Assets vs Liabilities,10,1581,liabilities,My rich dads personal financial statement on the right reflects the results of a life dedicated to investing and minimizing liabilities.,3
Investment Advice,10,1581,invest,My rich dads personal financial statement on the right reflects the results of a life dedicated to investing and minimizing liabilities.,3
Money Terms,10,1582,Income,Poor Dads Financial Statement Rich Dads Financial Statement Poor Dads Dads Financial Financial Statement Statement Poor Rich Dads Dads Financial Financial Statement Statement Rich Income Income Income Income Expenses Expenses Expenses Expenses Assets Assets Assets Assets Liabilities Liabilities 63 Liabilities Liabilities Chapter Two Lesson 2 Why the Rich Get Richer A review of my rich dads financial statement shows why the rich get richer.,2
Assets vs Liabilities,10,1582,Assets,Poor Dads Financial Statement Rich Dads Financial Statement Poor Dads Dads Financial Financial Statement Statement Poor Rich Dads Dads Financial Financial Statement Statement Rich Income Income Income Income Expenses Expenses Expenses Expenses Assets Assets Assets Assets Liabilities Liabilities 63 Liabilities Liabilities Chapter Two Lesson 2 Why the Rich Get Richer A review of my rich dads financial statement shows why the rich get richer.,3
Rich vs Poor Mindset,10,1582,Poor Dads Financial Statement Rich Dads Financial Statement Poor Dads Dads Financial Financial Statement Statement Poor Rich Dads Dads Financial Financial Statement Statement Rich Income Income Income Income Expenses Expenses Expenses Expenses Assets Assets Assets Assets Liabilities Liabilities 63 Liabilities Liabilities Chapter Two Lesson 2 Why the Rich Get Richer A review of my rich dads financial statement shows why the rich,Poor Dads Financial Statement Rich Dads Financial Statement Poor Dads Dads Financial Financial Statement Statement Poor Rich Dads Dads Financial Financial Statement Statement Rich Income Income Income Income Expenses Expenses Expenses Expenses Assets Assets Assets Assets Liabilities Liabilities 63 Liabilities Liabilities Chapter Two Lesson 2 Why the Rich Get Richer A review of my rich dads financial statement shows why the rich get richer.,4
Short Quote (10–25 words),10,1583,length_match,"The asset column generates more than enough income to cover expenses, with the balance reinvested into the asset column.",1
Money Terms,10,1583,income,"The asset column generates more than enough income to cover expenses, with the balance reinvested into the asset column.",2
Assets vs Liabilities,10,1583,asset,"The asset column generates more than enough income to cover expenses, with the balance reinvested into the asset column.",3
Short Quote (10–25 words),10,1584,length_match,"The asset column continues to grow and, therefore, the income it produces grows with it.",1
Money Terms,10,1584,income,"The asset column continues to grow and, therefore, the income it produces grows with it.",2
Assets vs Liabilities,10,1584,asset,"The asset column continues to grow and, therefore, the income it produces grows with it.",3
Wealth Building,10,1584,grow,"The asset column continues to grow and, therefore, the income it produces grows with it.",4
Money Terms,10,1586,INCOME,INCOME STATEMENT Income Expenses BALANCE SHEET Liabilities Assets 64 Rich Dad Poor Dad Why the Middle Class Struggle The middle class finds itself in a constant state of financial struggle.,2
Assets vs Liabilities,10,1586,Liabilities,INCOME STATEMENT Income Expenses BALANCE SHEET Liabilities Assets 64 Rich Dad Poor Dad Why the Middle Class Struggle The middle class finds itself in a constant state of financial struggle.,3
Rich vs Poor Mindset,10,1586,Rich Dad Poor,INCOME STATEMENT Income Expenses BALANCE SHEET Liabilities Assets 64 Rich Dad Poor Dad Why the Middle Class Struggle The middle class finds itself in a constant state of financial struggle.,4
Money Terms,10,1587,income,Their primary income is through their salary.,2
Short Quote (10–25 words),10,1589,length_match,"Their expenses tend to increase in proportion to their salary increase hence, the phrase the Rat Race.",1
Money Terms,10,1589,salary,"Their expenses tend to increase in proportion to their salary increase hence, the phrase the Rat Race.",2
Short Quote (10–25 words),10,1590,length_match,"They treat their home as their primary asset, instead of investing in incomeproducing assets.",1
Assets vs Liabilities,10,1590,asset,"They treat their home as their primary asset, instead of investing in incomeproducing assets.",3
Investment Advice,10,1590,invest,"They treat their home as their primary asset, instead of investing in incomeproducing assets.",3
Money Terms,10,1591,INCOME,"INCOME STATEMENT Income Expenses BALANCE SHEET Assets Liabilities 65 Chapter Two Lesson 2 This pattern of treating your home as an investment, and the philosophy that a pay raise means you can buy a larger home or spend more, is the foundation of todays debtridden society.",2
Assets vs Liabilities,10,1591,Assets,"INCOME STATEMENT Income Expenses BALANCE SHEET Assets Liabilities 65 Chapter Two Lesson 2 This pattern of treating your home as an investment, and the philosophy that a pay raise means you can buy a larger home or spend more, is the foundation of todays debtridden society.",3
Investment Advice,10,1591,invest,"INCOME STATEMENT Income Expenses BALANCE SHEET Assets Liabilities 65 Chapter Two Lesson 2 This pattern of treating your home as an investment, and the philosophy that a pay raise means you can buy a larger home or spend more, is the foundation of todays debtridden society.",3
Business & Education,10,1593,financial education,This is highrisk living caused by weak financial education.,2
Fear & Risk,10,1593,risk,This is highrisk living caused by weak financial education.,2
Short Quote (10–25 words),10,1594,length_match,The massive loss of jobs in recent times proves how shaky the middle class really is financially.,1
Short Quote (10–25 words),10,1596,length_match,Social Security is obviously in trouble and cant be relied upon as a source for retirement.,1
Short Quote (10–25 words),10,1598,length_match,"Today, mutual funds are popular because they supposedly represent safety.",1
Short Quote (10–25 words),10,1599,length_match,"Average mutualfund buyers are too busy working to pay taxes and mortgages, save for their childrens college, and pay off credit cards.",1
Short Quote (10–25 words),10,1600,length_match,"They do not have time to study investing, so they rely on the expertise of the manager of a mutual fund.",1
Investment Advice,10,1600,invest,"They do not have time to study investing, so they rely on the expertise of the manager of a mutual fund.",3
Short Quote (10–25 words),10,1601,length_match,"Also, because the mutual fund includes many different types of investments, they feel their money is safer because it is diversified.",1
Money Terms,10,1601,money,"Also, because the mutual fund includes many different types of investments, they feel their money is safer because it is diversified.",2
Investment Advice,10,1601,invest,"Also, because the mutual fund includes many different types of investments, they feel their money is safer because it is diversified.",3
Short Quote (10–25 words),10,1602,length_match,This educated middle class subscribes to the dogma put out by mutualfund brokers and financial planners Play it safe.,1
Fear & Risk,10,1603,risk,Avoid risk.,2
Advice Command,10,1603,Avoid,Avoid risk.,3
Short Quote (10–25 words),10,1604,length_match,The real tragedy is that the lack of early financial education is what creates the risk faced by average middleclass people.,1
Business & Education,10,1604,financial education,The real tragedy is that the lack of early financial education is what creates the risk faced by average middleclass people.,2
Fear & Risk,10,1604,risk,The real tragedy is that the lack of early financial education is what creates the risk faced by average middleclass people.,2
Short Quote (10–25 words),10,1605,length_match,The reason they have to play it safe is because their financial positions are tenuous at best.,1
Short Quote (10–25 words),10,1607,length_match,"Instead, they are loaded with liabilities and have no real assets that generate income.",1
Money Terms,10,1607,income,"Instead, they are loaded with liabilities and have no real assets that generate income.",2
Assets vs Liabilities,10,1607,liabilities,"Instead, they are loaded with liabilities and have no real assets that generate income.",3
Money Terms,10,1608,income,"Typically, their only source of income is their paycheck.",2
Short Quote (10–25 words),10,1611,length_match,"As I said at the start of this section, the most important rule is to know the difference between an asset and a liability.",1
Assets vs Liabilities,10,1611,asset,"As I said at the start of this section, the most important rule is to know the difference between an asset and a liability.",3
Short Quote (10–25 words),10,1612,length_match,"Once you understand the difference, concentrate your efforts on buying incomegenerating assets.",1
Assets vs Liabilities,10,1612,assets,"Once you understand the difference, concentrate your efforts on buying incomegenerating assets.",3
Short Quote (10–25 words),10,1613,length_match,Thats the best way to get started on a path 66 Rich Dad Poor Dad to becoming rich.,1
Rich vs Poor Mindset,10,1613,Rich Dad Poor,Thats the best way to get started on a path 66 Rich Dad Poor Dad to becoming rich.,4
Assets vs Liabilities,10,1614,asset,"Keep doing that, and your asset column will grow.",3
Wealth Building,10,1614,grow,"Keep doing that, and your asset column will grow.",4
Short Quote (10–25 words),10,1615,length_match,Keep liabilities and expenses down so more money is available to continue pouring into the asset column.,1
Money Terms,10,1615,money,Keep liabilities and expenses down so more money is available to continue pouring into the asset column.,2
Assets vs Liabilities,10,1615,liabilities,Keep liabilities and expenses down so more money is available to continue pouring into the asset column.,3
Assets vs Liabilities,10,1616,asset,"Soon the asset base will be so deep that you can afford to look at more speculative investments investments that may have returns of 100 percent to infinity 5,000 investments that are soon turned into 1 million or more investments that the middle class calls too risky.",3
Investment Advice,10,1616,invest,"Soon the asset base will be so deep that you can afford to look at more speculative investments investments that may have returns of 100 percent to infinity 5,000 investments that are soon turned into 1 million or more investments that the middle class calls too risky.",3
Fear & Risk,10,1616,risk,"Soon the asset base will be so deep that you can afford to look at more speculative investments investments that may have returns of 100 percent to infinity 5,000 investments that are soon turned into 1 million or more investments that the middle class calls too risky.",2
Investment Advice,10,1617,invest,The investment is not risky for the financially literate.,3
Fear & Risk,10,1617,risk,The investment is not risky for the financially literate.,2
Money Terms,10,1618,INCOME,"If you do what the masses do, you get the following picture INCOME STATEMENT Income Work for the Company Salary Expenses Work for the Government Taxes BALANCE SHEET Assets Liabilities Work for the Bank Mortgage 67 Chapter Two Lesson 2 As an employee who is also a homeowner, your working efforts are generally as follows 1.",2
Assets vs Liabilities,10,1618,Assets,"If you do what the masses do, you get the following picture INCOME STATEMENT Income Work for the Company Salary Expenses Work for the Government Taxes BALANCE SHEET Assets Liabilities Work for the Bank Mortgage 67 Chapter Two Lesson 2 As an employee who is also a homeowner, your working efforts are generally as follows 1.",3
Short Quote (10–25 words),10,1620,length_match,"Employees make their business owner or the shareholders rich, not themselves.",1
Business & Education,10,1620,business,"Employees make their business owner or the shareholders rich, not themselves.",2
Short Quote (10–25 words),10,1621,length_match,Your efforts and success will help provide for the owners success and retirement.,1
Short Quote (10–25 words),10,1624,length_match,The government takes its share from your paycheck before you even see it.,1
Short Quote (10–25 words),10,1625,length_match,"By working harder, you simply increase the amount of taxes taken by the government.",1
Short Quote (10–25 words),10,1626,length_match,Most people work from January to May just for the government.,1
Short Quote (10–25 words),10,1629,length_match,"After taxes, your next largest expense is usually your mortgage and creditcard debt.",1
Short Quote (10–25 words),10,1630,length_match,The problem with simply working harder is that each of these three levels takes a greater share of your increased efforts.,1
Short Quote (10–25 words),10,1631,length_match,You need to learn how to have your increased efforts benefit you and your family directly.,1
Assets vs Liabilities,10,1632,assets,Once you have decided to concentrate on minding your own businessfocusing your efforts on acquiring assets instead of a bigger paycheckhow do you set your goals?,3
Business & Education,10,1632,business,Once you have decided to concentrate on minding your own businessfocusing your efforts on acquiring assets instead of a bigger paycheckhow do you set your goals?,2
Short Quote (10–25 words),10,1633,length_match,Most people must keep their job and rely on their wages to fund their acquisition of assets.,1
Assets vs Liabilities,10,1633,assets,Most people must keep their job and rely on their wages to fund their acquisition of assets.,3
Short Quote (10–25 words),10,1634,length_match,"As their assets grow, how do they measure the extent of their success?",1
Assets vs Liabilities,10,1634,assets,"As their assets grow, how do they measure the extent of their success?",3
Wealth Building,10,1634,grow,"As their assets grow, how do they measure the extent of their success?",4
Short Quote (10–25 words),10,1635,length_match,"When does someone know that they are rich, that they have wealth?",1
Wealth Building,10,1635,wealth,"When does someone know that they are rich, that they have wealth?",4
Short Quote (10–25 words),10,1636,length_match,"As well as having my own definitions for assets and liabilities, I also have my own definition for wealth.",1
Assets vs Liabilities,10,1636,assets,"As well as having my own definitions for assets and liabilities, I also have my own definition for wealth.",3
Wealth Building,10,1636,wealth,"As well as having my own definitions for assets and liabilities, I also have my own definition for wealth.",4
Short Quote (10–25 words),10,1639,length_match,"Some call him a quack, and others call him a genius.",1
Short Quote (10–25 words),10,1640,length_match,Years ago he got architects buzzing because he applied for a patent for something called a geodesic dome.,1
Short Quote (10–25 words),10,1641,length_match,"But in the application, Fuller also said something about wealth.",1
Wealth Building,10,1641,wealth,"But in the application, Fuller also said something about wealth.",4
Rich vs Poor Mindset,10,1642,Rich Dad Poor,"68 Rich Dad Poor Dad It was pretty confusing at first, but after reading it, it began to make some sense Wealth is a persons ability to survive so many number of days forwardor, if I stopped working today, how long could I survive?",4
Wealth Building,10,1642,Wealth,"68 Rich Dad Poor Dad It was pretty confusing at first, but after reading it, it began to make some sense Wealth is a persons ability to survive so many number of days forwardor, if I stopped working today, how long could I survive?",4
Assets vs Liabilities,10,1643,assets,"Unlike net worththe difference between your assets and liabilities, which is often filled with a persons expensive junk and opinions of what things are worththis definition creates the possibility for developing a truly accurate measurement.",3
Short Quote (10–25 words),10,1644,length_match,I could now measure and know where I was in terms of my goal to become financially independent.,1
Money Terms,10,1645,money,"Although net worth often includes noncashproducing assets, like stuff you bought that now sits in your garage, wealth measures how much money your money is making and, therefore, your financial survivability.",2
Assets vs Liabilities,10,1645,assets,"Although net worth often includes noncashproducing assets, like stuff you bought that now sits in your garage, wealth measures how much money your money is making and, therefore, your financial survivability.",3
Wealth Building,10,1645,wealth,"Although net worth often includes noncashproducing assets, like stuff you bought that now sits in your garage, wealth measures how much money your money is making and, therefore, your financial survivability.",4
Short Quote (10–25 words),10,1646,length_match,Wealth is the measure of the cash flow from the asset column compared with the expense column.,1
Assets vs Liabilities,10,1646,asset,Wealth is the measure of the cash flow from the asset column compared with the expense column.,3
Wealth Building,10,1646,Wealth,Wealth is the measure of the cash flow from the asset column compared with the expense column.,4
Short Quote (10–25 words),10,1648,length_match,"Lets say I have cash flow from my asset column of 1,000 a month.",1
Assets vs Liabilities,10,1648,asset,"Lets say I have cash flow from my asset column of 1,000 a month.",3
Wealth Building,10,1650,wealth,What is my wealth?,4
Short Quote (10–25 words),10,1652,length_match,"Using his definition, how many days forward can I survive?",1
Short Quote (10–25 words),10,1653,length_match,"Assuming a 30day month, I have enough cash flow for half a month.",1
Short Quote (10–25 words),10,1654,length_match,"When I achieve 2,000 a month cash flow from my assets, then I will be wealthy.",1
Assets vs Liabilities,10,1654,assets,"When I achieve 2,000 a month cash flow from my assets, then I will be wealthy.",3
Short Quote (10–25 words),10,1656,length_match,I now have income generated from assets each month that fully cover my monthly expenses.,1
Money Terms,10,1656,income,I now have income generated from assets each month that fully cover my monthly expenses.,2
Assets vs Liabilities,10,1656,assets,I now have income generated from assets each month that fully cover my monthly expenses.,3
Short Quote (10–25 words),10,1657,length_match,"If I want to increase my expenses, I first must increase my cash flow to maintain this level of wealth.",1
Wealth Building,10,1657,wealth,"If I want to increase my expenses, I first must increase my cash flow to maintain this level of wealth.",4
Short Quote (10–25 words),10,1658,length_match,Also note that it is at this point that Im no longer dependent on my wages.,1
Short Quote (10–25 words),10,1659,length_match,"I have focused on, and been successful in, building an asset column that has made me financially independent.",1
Assets vs Liabilities,10,1659,asset,"I have focused on, and been successful in, building an asset column that has made me financially independent.",3
